Patient;MSE Overall;MAE Overall;PSNR Overall;SSIM Overall
2BA002;97,061120;5,632225;28,260351;0,903256
2BA023;355,767043;8,447461;22,619146;0,793410
2BA030;124,490498;6,177874;27,179442;0,805452
2BA080;142,502076;6,327081;26,592592;0,798993
2BB030;97,671340;5,507309;28,233132;0,849155
2BB034;126,930509;6,286752;27,095143;0,839760
2BB071;91,160760;5,423366;28,532724;0,862298
2BB079;85,495003;5,126830;28,811396;0,858121
2BB096;107,534820;5,659902;27,815312;0,864338
2BB100;99,507891;5,256832;28,152228;0,863437
2BB102;162,602957;6,460787;26,019519;0,828103
2BB145;86,194750;5,086297;28,775995;0,868290
2BB189;89,664903;5,033362;28,604579;0,877621
2BC002;1230,485466;20,294234;17,230039;0,589597
2BC016;68,762663;4,663208;29,757277;0,814377
2BC045;76,359529;4,974692;29,302171;0,865516
2BC047;60,338677;4,204924;30,324846;0,875376
2BC090;103,763110;5,520020;27,970374;0,829225
Average;178,127395 ± 262,929392;6,449064 ± 3,474667;27,293126 ± 2,940384;0,832574 ± 0,065760
