Patient;MSE Overall;MAE Overall;PSNR Overall;SSIM Overall
2BA002;32364,667418;92,726007;27,048390;0,714749
2BA023;32491,734377;87,234176;27,031371;0,794187
2BA030;25869,758041;82,392492;28,021180;0,779131
2BA080;38180,492377;95,857387;26,330684;0,759700
2BB030;34276,267068;90,947285;26,799166;0,774395
2BB034;46368,075011;104,432979;25,486912;0,759927
2BB071;28677,349508;84,262772;27,573708;0,780431
2BB079;26861,718551;80,518713;27,857763;0,802421
2BB096;31062,145615;83,825732;27,226785;0,807103
2BB100;29486,349333;81,246789;27,452891;0,798000
2BB102;43513,962835;102,026850;25,762815;0,749566
2BB145;32865,782664;89,515010;26,981662;0,791074
2BB189;25577,266303;78,077327;28,070557;0,791559
2BC002;297583,114492;304,177470;17,413019;0,475448
2BC016;20838,709166;80,335116;28,960392;0,875777
2BC045;28613,678366;96,677862;27,583363;0,739282
2BC047;14931,383350;60,737206;30,408100;0,827452
2BC090;31010,750065;85,572825;27,233980;0,805388
Average;45587,400252 ± 61529,858627;98,920222 ± 50,714172;26,846819 ± 2,529422;0,768088 ± 0,078872
