Patient;MSE Overall;MAE Overall;PSNR Overall;SSIM Overall
2BA002;1634,254828;26,645307;15,997606;0,642452
2BA023;1150,179412;20,480703;17,523148;0,610090
2BA030;1566,252625;25,002507;16,182185;0,630438
2BA080;1420,365637;23,792046;16,606802;0,623881
2BB030;1610,406750;28,492987;16,061448;0,657343
2BB034;1940,836964;31,968163;15,250913;0,658333
2BB071;1799,318868;30,343167;15,579722;0,659165
2BB079;1605,127786;28,403901;16,075707;0,663303
2BB096;1980,967717;32,090048;15,162030;0,666247
2BB100;1666,029497;29,247854;15,913977;0,671994
2BB102;1807,919763;29,908641;15,559012;0,667088
2BB145;2140,819963;32,683410;14,825002;0,637679
2BB189;1646,293757;28,568328;15,965730;0,660814
2BC002;3341,089597;40,011442;12,891922;0,437831
2BC016;1059,722172;18,993986;17,878883;0,657474
2BC045;1803,110735;27,894400;15,570580;0,653732
2BC047;1587,597442;25,646142;16,123400;0,646976
2BC090;1449,349088;24,117427;16,519074;0,613316
Average;1733,869033 ± 468,160000;28,016137 ± 4,695744;15,871508 ± 1,030554;0,636564 ± 0,051423
