Patient;MSE Overall;MAE Overall;PSNR Overall;SSIM Overall
2BA002;60,648867;3,854022;30,302577;0,884946
2BA023;106,636373;4,658281;27,851750;0,824227
2BA030;76,218116;4,218575;29,310222;0,852868
2BA080;115,459846;4,758146;27,506494;0,835534
2BB030;89,151310;4,748572;28,629526;0,857498
2BB034;88,337691;4,802178;28,669343;0,867854
2BB071;88,103724;4,622743;28,680861;0,866758
2BB079;80,603144;4,421027;29,067284;0,861724
2BB096;96,644861;4,783679;28,279016;0,873364
2BB100;79,911445;4,242878;29,104714;0,878309
2BB102;98,903627;4,862506;28,178681;0,857846
2BB145;89,414071;4,686932;28,616745;0,854716
2BB189;77,231512;4,293267;29,252858;0,876676
2BC002;945,118947;16,261750;18,375939;0,621951
2BC016;48,535945;3,491368;31,270169;0,896093
2BC045;66,356459;4,295620;29,911972;0,889227
2BC047;66,855522;4,034374;29,879431;0,890260
2BC090;98,137960;4,994524;28,212433;0,843157
Average;131,792745 ± 197,923885;5,112802 ± 2,730670;28,394445 ± 2,590155;0,851834 ± 0,058839
